Category: All categories

Month,Tesla Motors: (Worldwide)
2010-07,51
2010-08,29
2010-09,28
2010-10,29
2010-11,29
2010-12,25
2011-01,31
2011-02,26
2011-03,28
2011-04,28
2011-05,26
2011-06,24
2011-07,19
2011-08,23
2011-09,22
2011-10,31
2011-11,22
2011-12,20
2012-01,23
2012-02,38
2012-03,27
2012-04,29
2012-05,30
2012-06,36
2012-07,27
2012-08,27
2012-09,36
2012-10,33
2012-11,48
2012-12,32
2013-01,34
2013-02,42
2013-03,34
2013-04,51
2013-05,81
2013-06,63
2013-07,65
2013-08,100
2013-09,71
2013-10,70
2013-11,70
2013-12,62
2014-01,59
2014-02,74
2014-03,79
2014-04,72
2014-05,67
2014-06,72
2014-07,69
2014-08,63
2014-09,66
2014-10,82
2014-11,58
2014-12,52
2015-01,64
2015-02,66
2015-03,61
2015-04,65
2015-05,87
2015-06,65
2015-07,66
2015-08,72
2015-09,71
2015-10,74
2015-11,54
2015-12,55
2016-01,48
2016-02,55
2016-03,58
2016-04,100
2016-05,53
2016-06,44
2016-07,37
2016-08,35
2016-09,37
2016-10,40
2016-11,41
2016-12,35
2017-01,38
2017-02,33
2017-03,30
2017-04,36
2017-05,29
2017-06,27
2017-07,32
2017-08,30
2017-09,28
2017-10,29
2017-11,38
2017-12,26
2018-01,24
2018-02,25
